Παλαιά Ονομασία,Παραλλαγή Παλαιάς Ονομασίας,Νέα Ονομασία,Παραλλαγή Νέας Ονομασίας,Γεωγραφικό Διαμέρισμα,Νομός,Επαρχία,Φ.Ε.Κ.,Σχόλια,Latitude,Longitude
Κουκουλίστα,,Κρυονέρια,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ,206/1927,,38.6480239,21.9217121
Νίσβαρη,,Κοκκινοχώρι,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ,206/1927,,38.5206014,21.963829
Αμόρανη,,Καταφύγι,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ,206/1927,,39.0,22.0
Μεβδέζα,,Παλαιόπυργος,,ΗΠΕΙΡΟΣ,ΙΩΑΝΝΙΝΩΝ,ΠΩΓΩΝΙΟΥ,76/1927,,40.0280786,20.4878575
Στρωμίνιανη,,Καλλονή,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ,206/1927,,38.6822784,21.975808
Νερέτη,,Πολυπόταμον,,ΜΑΚΕΔΟΝΙΑ,ΦΛΩΡΙΝΗΣ,ΦΛΩΡΙΝΗΣ,179/1927,,40.71738,21.36698
Αρίνιστα,,Κτίσματα,,ΗΠΕΙΡΟΣ,ΙΩΑΝΝΙΝΩΝ,ΠΩΓΩΝΙΟΥ,179/1927,,39.8990841,20.3983661
Μετζητιές,,Κεφαλόβρυσον,,ΗΠΕΙΡΟΣ,ΙΩΑΝΝΙΝΩΝ,ΠΩΓΩΝΙΟΥ,76/1927,,39.0,22.0
Τσοραπλή,Τσορακλή,Αγγελόκαστρον,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,40.99302,22.87433
Κλέπε,,Λευκοχώριον,,ΜΑΚΕΔΟΝΙΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΛΑΓΚΑΔΑ,1927-07-01 00:00:00,,40.9267278,23.0692415
Δερεσελή,Δερεσλή,Πλαγιές,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,40.99302,22.87433
Αρμουτσή,,Μεγάλη Βρύση,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,41.0077425,22.7950949
Κάτω Κάνιανη,,Αποστολιάς,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΩΚΙΔΟΣ,ΠΑΡΝΑΣΣΙΔΟΣ,206/1927,,38.7157235,22.4061481
Άνω Κάνιανη,,Οινοχώριον,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΩΚΙΔΟΣ,ΠΑΡΝΑΣΣΙΔΟΣ,206/1927,,39.0,22.0
Τοπόλια,,Ελαιών,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΩΚΙΔΟΣ,ΠΑΡΝΑΣΣΙΔΟΣ,206/1927,,39.0,22.0
Άνω Αγόριανη,,Επτάλοφον,Επτάλοφος,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΩΚΙΔΟΣ,ΠΑΡΝΑΣΣΙΔΟΣ,206/1927,,39.0,22.0
Κουκοβίτσα,Κουκκουβίτσα,Καλοσκοπή,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΩΚΙΔΟΣ,ΠΑΡΝΑΣΣΙΔΟΣ,206/1927,,38.6891681,22.3224644
Σουβάλα,,Πολύδροσον,Πολύδροσος,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΩΚΙΔΟΣ,ΠΑΡΝΑΣΣΙΔΟΣ,206/1927,,39.0,22.0
Χασάνοβο,,Μεσοχώρι,,ΜΑΚΕΔΟΝΙΑ,ΦΛΩΡΙΝΗΣ,ΦΛΩΡΙΝΗΣ,179/1927,,40.8841381,21.5133846
